,SMILES,STABILITY_SCORE,CHEMBL_ID
250,COc1ccc(C(=O)\C=C\c2cc(CN3CCN(CC3)c3ccnc4cc(Cl)ccc34)c(O)c(OC)c2)c(OC)c1,0.6,CHEMBL1774609
256,Cc1cnc2c(cccc2c1-c1cccc(Oc2cc(Cl)cc(c2)S(C)(=O)=O)c1)C(F)(F)F,0.5,CHEMBL594176
261,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,12.5,CHEMBL76
262,CN(C)C1CCN(CC1)C(=O)c1ccc(NC(=O)Nc2ccc(cc2)-c2nc(O[C@H]3CCOC3)nc(n2)N2CCOCC2)cc1,0.3,CHEMBL1808988
264,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)sc1cc(NC(=O)Oc3ccc(F)cc3)ccc21)C(O)=O,0.5,CHEMBL562114
275,CNc1nc(NCCCN(C)C)c2sc(cc2n1)-c1ccc(cc1)S(C)(=O)=O,1.9,CHEMBL3120286
279,COc1cc(ccc1-c1csc2ccccc12)C(=O)N1C[C@]2(C)C[C@H]1CC(C)(C)C2,0.0,CHEMBL1083703
280,COc1cc(\C=C\C(C)=O)ccc1OCCNc1ccnc2cc(Cl)ccc12,0.2,CHEMBL1774604
282,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)C(=NN(CCC2CC2)C1=O)C1=CCCC1,0.5,CHEMBL257750
284,OC(=O)C(O)=O.Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](Oc1c24)[C@@H](CC[C@@]35O)NC(=O)c1ccc(I)cc1,1.9,CHEMBL611931
287,CC(C)CCN1N=C(C2CCCC2)C(O)=C(C1=O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,0.3,CHEMBL409672
290,COc1cc(\C=C\C(C)=O)ccc1OCc1cn(nn1)-c1ccnc2cc(Cl)ccc12,0.1,CHEMBL1289100
291,Cc1noc(n1)-c1ccc2n(CCCSc3ccc(F)c(F)c3)c3CCCCc3c2c1,0.5,CHEMBL2179511
301,OC(=O)c1c(O)c(Cc2ccc(Cl)cc2)nc2c3CCCCc3ccc12,1.0,CHEMBL219046
309,COc1cc(cc(OC)c1OC)C(=N\O)\c1csc(n1)-c1ccccc1,0.6,CHEMBL1830210
314,COC(=O)C1COCCN1C(=O)C(F)(F)Sc1ccc(cc1)C(C)C,0.7,CHEMBL237005
318,CC(C)CCN1N=C(c2cccs2)C(O)=C(C2=NS(=O)(=O)c3cc(ccc3N2)S(C)(=O)=O)C1=O,0.1,CHEMBL253964
322,Cc1noc(n1)-c1ccc2n(CCCOc3cc(F)cc(F)c3)c3CCCCc3c2c1,0.9,CHEMBL2179508
338,CC(C)N1C(=O)C(=O)N=C1\N=C(/NCCCN(C)C)Nc1ccc(Cl)c(Cl)c1,1.0,CHEMBL1673024
339,O=C(N[C@@H](C1CCCCC1)c1cn(nn1)C1(CC1)C#N)c1ccsc1,0.3,CHEMBL2207569
346,COCCNS(=O)(=O)c1ccc(cc1)C(CC1CCCC1)C(=O)Nc1nc2ccc(OC)nc2s1,0.3,CHEMBL574131
349,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)C(=NN(CCC2CCC2)C1=O)c1cccs1,1.0,CHEMBL256741
353,CC(C)N1CCN(CC1)c1ccc(NC(=O)c2ccc(cc2)-c2ccccn2)cc1,1.0,CHEMBL2407259
355,c1cc(cs1)-c1ccccc1,5.3,CHEMBL386250
357,CO\N=C(\N)c1ccc(cc1)-c1cncc(n1)-c1ccc(cc1)C(\N)=N\OC,0.1,CHEMBL2442603
370,CCc1nc(N)nc(N)c1-c1ccc2OC(C)CN(CCCOC)c2c1,0.5,CHEMBL239100
375,CN1CCN(Cc2ccc(cc2)C(N2CCCN(CC2)C2CCC2)c2nnnn2Cc2ccccc2)CC1,1.2,CHEMBL1223158
377,CCNC(=O)CN1C(=O)C(C)(Oc2ccc(cc12)-c1c(N)nc(N)nc1CC)c1cc(F)cc(F)c1,1.0,CHEMBL398811
378,CC(C)(C)n1ccnc1\N=C(/N)Nc1ccc(Cl)c(Cl)c1,1.0,CHEMBL1828770
379,CC(C)CCN1N=C(c2cncs2)C(O)=C(C1=O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,1.0,CHEMBL255901
382,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,6.8,CHEMBL27759
384,CCc1nc(N)nc(N)c1-c1ccc2O[C@](C)(C(=O)N(CCNC(C)=O)c2c1)c1ccccc1,1.0,CHEMBL391463
385,CN(Cc1ccccc1)C(=O)[C@@H](NC(=O)c1cc2cc(NC(=O)c3ccccc3-c3ccc(cc3)C(F)(F)F)ccc2n1C)c1ccccc1,1.2,CHEMBL410414
389,O=C1CCc2cc(cc3CCN1c23)-c1cccnc1,0.1,CHEMBL1765205
390,CCCC(=O)N\C(NC(C)C)=N/C1=NC(=O)C(=O)N1c1ccc(Cl)c(Cl)c1,0.2,CHEMBL393426
407,CN1C(=O)CN(Cc2ccc(cc2)-c2cccc(CN3CCCCC3)n2)C1=O,1.8,CHEMBL1835122
409,COC(=O)Nc1ccc2oc3cc(ccc3c2c1)S(=O)(=O)N[C@@H](C(C)C)C(O)=O,0.5,CHEMBL523034
