,SMILES,STABILITY_SCORE,CHEMBL_ID
5,COC[C@H]1C[C@H](CN(Cc2nc(oc2C)-c2ccccc2)C1)C(=O)NCc1cccc(C)n1,0.2,CHEMBL1780098
11,Clc1ccc(cc1Cl)[C@]12CCC[C@H]1CNC2,0.4,CHEMBL1813474
17,CC(C)CN1C[C@@H]2C[C@H]1CN2c1cc(F)c(c(F)c1)-c1ccnc2c(c(nn12)-c1ccncc1)-c1cccc2[nH]ncc12,0.1,CHEMBL1276195
22,Fc1ccc(cc1)C(CCNC(=O)N1CCC(C1)c1cnccn1)c1ccc(F)cc1,0.0,CHEMBL1085743
26,FC(F)(F)c1ccc(cc1)C1=CC(=O)N(C=C1)c1ccc2n(CCN3CCCC3)ncc2c1,2.0,CHEMBL1290041
32,O=C(NCCN1CCOCC1)c1ccc2OCC(Cc2c1)C1=Nc2ccc(cc2C(=O)N1)-c1cn[nH]c1,0.3,CHEMBL1684210
35,Cc1ccc(nc1)-c1c(C2CCCC2)c2ccc(cc2n1C)C(=O)NC1(CCC1)C(=O)Nc1ccc(\C=C\C(O)=O)cc1,0.9,CHEMBL2181777
53,O=C(NCCC(c1ccccc1)c1ccccc1)c1ccccc1,0.1,CHEMBL556303
57,COc1cccc(CN(CCN(C)C)C(=O)c2nc3ccc(cc3s2)-c2cn[nH]c2)c1,0.3,CHEMBL1080279
68,CN(C)CCOc1cc(ccc1NC(=O)[C@H]1Cc2cc(Cl)ccc2CN1)-c1cn[nH]c1,2.0,CHEMBL1215169
86,COc1cccc2c(cn(CC3CCCCC3)c12)C(=O)N1CCN2CCC[C@@H]2C1,0.1,CHEMBL1288083
101,CCOCCN1C=C(C=CC1=O)C(=O)NCc1ccc(Cl)cc1Cl,0.4,CHEMBL567283
121,COc1ccc2OCC(Cc2c1)C(=O)Nc1ccc(cc1OCCN(C)C)-c1cn[nH]c1,0.8,CHEMBL482336
128,Cn1c(c(C2CCCCC2)c2ccc(cc12)C(=O)NC(C)(C)C(=O)Nc1ccc(\C=C\C(O)=O)cc1)-c1ccc2ncccc2c1,2.1,CHEMBL1778739
