,SMILES,STABILITY_SCORE,CHEMBL_ID
0,N[C@H]1CC[C@@H](CC1)n1nnc2cnc3[nH]ccc3c12,1.1,CHEMBL2392498
12,C[C@@H]1CN(CCN1S(=O)(=O)c1ccc(cc1)[C@](O)(C(N)=O)C(F)(F)F)c1ccc(F)cc1C(F)(F)F,0.5,CHEMBL2322710
18,Cc1cccc(CN([C@@H]2CCNC2)C2CCOCC2)c1C,2.0,CHEMBL395408
30,COc1ccc(cc1-c1ccc(F)cc1F)C1=Nc2c(C(=O)NC1)n(CCCO)nc2C(C)(C)C,2.0,CHEMBL2387432
38,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)C2(CC2)CN(Cc2ccc(F)cc2)C1=O,1.0,CHEMBL568612
47,CC(C)CC1n2cncc2CN(Cc2cccs2)S1(=O)=O,0.0,CHEMBL1209623
54,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2N(Cc2ccc(F)c(Cl)c2)C1=O,1.0,CHEMBL1076410
55,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c1ncc([nH]1)-c1ccc(cc1)-c1ccc(cc1)-c1cnc([nH]1)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)OC)C(C)C,0.9,CHEMBL2023898
63,O=C(N[C@H]1CN2CCC1CC2)c1ccc2occc2c1,2.0,CHEMBL378471
64,CCc1nc2ccc(Cl)cn2c1C(=O)NCc1ccc(cc1)N1CCN(CC1)c1ccc(F)cc1,2.0,CHEMBL3298836
70,CN1CCC[C@H]1C(=O)N1CCC(CC1)n1cnc2cnc3[nH]ccc3c12,4.7,CHEMBL2152404
73,CC(C)CC1n2cncc2CN(Cc2ccc(F)cc2)S1(=O)=O,0.1,CHEMBL1209476
87,CCc1nn(CCO)c(c1Cc1cc(Cl)cc(Cl)c1)C(F)(F)F,0.5,CHEMBL572953
90,N[C@@H](CC(=O)N1CCC[C@H]1CNC(=O)C1CC1)Cc1cc(F)c(F)cc1F,2.0,CHEMBL563648
92,CC(C)CCN1C2CCCC2C(O)=C(C1=O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,0.2,CHEMBL514229
94,C[C@@H]1CN(CCN1S(=O)(=O)c1ccc(cc1Cl)C(N)=O)c1ccc(F)cc1C(F)(F)F,0.5,CHEMBL550175
95,CN1CCN(C(=O)C1)c1ccc(cc1F)C1CC(=NO1)c1ccc(o1)[N+]([O-])=O,4.8,CHEMBL2147099
100,Cn1cnc2ccc(-c3ccccc3CO)c(CN)c12,1.7,CHEMBL256252
105,Cc1nc(C(=O)N2CC(F)CC[C@H]2CNC(=O)c2cccc3occc23)c(s1)-c1ccccc1,1.0,CHEMBL2031501
106,C[C@@H]1CN(CCN1S(=O)(=O)c1ccc(Br)cc1)c1ccc(F)cc1C(F)(F)F,0.5,CHEMBL564576
110,Cc1nc2ccc(-c3ccccc3Cl)c(CN)c2n1C,3.3,CHEMBL257636
112,COc1ccccc1-c1ccc2cnc(Nc3cccc(c3)N3CCN(C[C@H](C)O)CC3)nn12,0.5,CHEMBL1923577
114,CCCc1cnc(nc1)N1CCC(CC1)OC1=CC(=O)N(C=C1)c1ccc(N2CCC(O)C2=O)c(C)n1,1.3,CHEMBL3287203
124,COc1ccccc1CC(N1CCNCC1)c1ccc(F)cc1,2.0,CHEMBL1085567
125,FC(F)(F)c1ccc(cc1S(=O)(=O)NC1CCN(CC1)C(=O)c1ccc(nc1)N1CCCC1)S(=O)(=O)c1ccccc1,0.1,CHEMBL590477
126,COc1cccc(NCC(F)Cn2c3ccc(Br)cc3c3cc(Br)ccc23)n1,1.9,CHEMBL3265234
133,C[C@@H]1[C@@H]2NC[C@@H](C)C[C@H]2O[C@]11CC[C@H]2[C@@H]3CC[C@@H]4CCCC[C@]4(C)[C@H]3CC2=C(C)C1,3.3,CHEMBL565034
135,CCCOc1ccccc1CC(N1CCNCC1)c1ccccc1,0.8,CHEMBL213754
141,CC(C)c1nn(CCO)c(C)c1Cc1cc(Cl)cc(Cl)c1,0.8,CHEMBL583718
148,CC(C)CC[C@H]1CN(Cc2ccc(F)cc2)C(=O)C(=C1O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,0.1,CHEMBL566485
149,CCC(CC)c1nn(CCCO)c2c1N=C(CNC2=O)c1ccc(cc1)-n1ccnc1C,0.1,CHEMBL2387137
156,CC(C)c1nc2ccccn2c1C(=O)NCc1ccc(cc1)-c1ccccc1,0.5,CHEMBL3298217
170,Cc1ccc(cc1C(F)(F)F)-c1cc(cnc1N)-c1ccc(cc1)S(C)(=O)=O,1.3,CHEMBL2041987
172,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)[C@H]2CCC[C@H]2N(Cc2ccc(F)c(Cl)c2)C1=O,1.0,CHEMBL514176
174,FC(F)(F)Oc1ccccc1CC(N1CCNCC1)c1ccccc1,1.8,CHEMBL375131
175,CC(C)(C)CCN1C2CCCCCC2C(O)=C(C1=O)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,0.5,CHEMBL478129
179,CS(=O)(=O)Nc1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)[C@@H]2C3CCC(CC3)[C@@H]2N(Cc2ccccc2)C1=O,1.0,CHEMBL1081529
181,Cc1cc(CN2[C@@H]3CCC[C@@H]3C(O)=C(C2=O)C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)ccc1F,1.0,CHEMBL516376
185,CC(C)C[C@@H]1CC(O)=C(C(=O)N1Cc1ccc(F)cc1)C1=NS(=O)(=O)c2cc(NS(C)(=O)=O)ccc2N1,1.0,CHEMBL565652
190,COc1ccc(cn1)-c1cc(cnc1N)-c1cccc(c1)C(N)=O,4.2,CHEMBL2181480
194,COc1ccc(cc1OC)C(=O)NCc1cccc(c1)C(=O)NCCC1CCCNC1,2.3,CHEMBL597127
196,CCC(CC)c1nn(CCO)c2c1N=C(CNC2=O)c1ccccc1,0.3,CHEMBL2387136
204,CC(C)CC(=O)N[C@H]1CC[C@@H](CC1)n1nnc2cnc3[nH]ccc3c12,3.7,CHEMBL2392484
206,COC(=O)N[C@@H]1CC[C@H](C1)n1nnc2cnc3[nH]ccc3c12,4.3,CHEMBL2392486
214,CN1CCC(CC1)C(=O)Nc1cc2C=CNC(=O)c2cc1Cl,5.0,CHEMBL1083113
227,CN(c1ccc2NC(=NS(=O)(=O)c2c1)C1=C(O)C2CCCN2N(CCC(C)(C)C)C1=O)S(C)(=O)=O,1.0,CHEMBL497360
