,SMILES,STABILITY_SCORE,CHEMBL_ID
0,Cn1c(Nc2ccc(I)cc2F)c(C(=O)NOC[C@@H](O)CO)c2CCCC(=O)c12,0.6,CHEMBL2012891
12,Fc1cccc(N2CCC(CC2)C(=O)Nc2ccc3OCC(=O)Nc3c2)c1Br,0.1,CHEMBL464384
29,O=C(CN1CCN2CCC[C@@H]2C1)NC1CCCCC1,0.1,CHEMBL2391352
173,Oc1c(CNc2ccccn2)ccc2cccnc12,0.6,CHEMBL3112926
184,N[C@H]1CCCC[C@H]1Nc1cc2N=CNC(=O)c2c(Nc2cccc3c(Cl)c[nH]c23)n1,0.3,CHEMBL3262358
228,FC(F)(F)c1ccc(CCC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)Nc2ccncc2)cc1,0.1,CHEMBL2431647
241,CC(C)NC(=O)[C@@H]1C[C@H](CN1C(=O)CN)NC(=O)c1ccccc1,0.5,CHEMBL560531
245,CS(=O)(=O)c1ccccc1OC1CCN(CC1)C(=O)NCc1ccc(Cl)cc1Cl,0.1,CHEMBL589860
264,Cn1c(c(C2CCCC2)c2ccc(cc12)C(=O)NC1(CCC1)C(=O)Nc1ccc(\C=C\C(O)=O)cc1)-c1cnccn1,0.9,CHEMBL2181643
278,CCOC(=O)N1CC(N)C(C1)c1ccc(Cl)cc1Cl,3.0,CHEMBL247774
280,NCC1(CCCCC1)c1cccs1,3.6,CHEMBL1683905
286,NC1CN(CC1c1ccc(Cl)cc1Cl)c1ncccn1,3.0,CHEMBL245355
288,CC(C)N(C(=O)[C@H]1CC[C@H](C)CC1)c1ccc(Oc2ncccc2C(F)(F)F)cc1C(O)=O,1.0,CHEMBL2403320
343,COC(=O)N1CCN(CCN2CCC(CNC(=O)c3cccc4[nH]c(nc34)C(C)C)CC2)CC1,1.5,CHEMBL2402898
424,N[C@H]1COCC[C@H]1Nc1cc2N=CNC(=O)c2c(Nc2cccc3cc[nH]c23)n1,0.2,CHEMBL3262617
431,CNS(=O)(=O)c1ccc(CNC(=O)c2ccc(OCCC(F)(F)F)nc2)c(Cl)c1,0.4,CHEMBL566048
457,FC(F)(F)CCOc1ccc(cn1)C(=O)NCc1ccc(Br)cc1OC(F)(F)F,0.3,CHEMBL566648
475,O=C(Nc1ccncc1)[C@H](Cc1c[nH]c2ccccc12)NC(=O)c1ccc2ccccc2c1,0.1,CHEMBL2431634
488,CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)sc1cc(NC(=O)Oc3ccc(F)cc3)ccc21)C(O)=O,0.5,CHEMBL562114
503,CC(=O)c1cc(C(=O)N2CC(N)C2)c(Nc2ccc(I)cc2F)n1C,1.1,CHEMBL1172521
515,Fc1ccc(COc2ccc(cc2F)-c2ccc(C(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)Nc3ccncc3)c(F)c2)c(F)c1,0.5,CHEMBL3259949
518,Fc1cc(ccc1-c1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1,0.3,CHEMBL2431544
526,COc1ccc(cc1C#Cc1ccccn1)C(=O)N1CCN(CC1)c1ccncn1,0.3,CHEMBL1645020
537,C[C@@H]1[C@@H](O)C(C)(C)Nc2cc(F)c(c(F)c12)-c1cccc2cc[nH]c12,0.5,CHEMBL1682441
549,Cc1nc(CN2CCN(CC2)c2cccc3[nH]c(nc23)-c2ccc(cc2)C(C)(C)C)cn1C,0.1,CHEMBL492327
598,Cc1noc(C)c1NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)C1CCCCC1,0.1,CHEMBL2431654
629,Fc1cc(ccc1C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccncc1)C#Cc1ccccc1,1.1,CHEMBL2431537
681,ONC(=O)CCCCCNC(=O)NC(=O)c1ccc(Br)cc1,0.9,CHEMBL1083086
688,CS(=O)(=O)N1CC(C1)c1noc(n1)[C@@H]1CCCN1C(=O)C[C@H](N)Cc1cc(F)c(F)cc1F,2.0,CHEMBL566425
689,Cc1cc(OC(=O)CCCC(CO[N+]([O-])=O)O[N+]([O-])=O)n(n1)-c1ccccc1,0.0,CHEMBL2170575
695,Cc1c(nn(C)c1-c1ccc(F)cc1)C(=O)Nc1cccc(Cl)n1,1.8,CHEMBL2346711
