,SMILES,STABILITY_SCORE,CHEMBL_ID
991,COc1cc(NC(C)CCCNC(=O)Oc2ccc(Cl)cc2)c2ncccc2c1,11.8,CHEMBL1933090
1018,COc1cc(ccc1Nc1ncc2ccc(-c3ccccc3N(C)S(C)(=O)=O)n2n1)C1CCN(CC(N)=O)CC1,0.1,CHEMBL2158516
1029,NC(=O)C1CCCCc2c1[nH]c1ccc(Cl)cc21,1.0,CHEMBL446446
1053,COc1ccc(CN(C)C)c(c1)-c1cc2c(Nc3ccc4[nH]ccc4c3C)c(cnc2s1)C#N,0.2,CHEMBL479835
1104,CCc1cc(-c2ccc(o2)C(F)(F)F)n(n1)-c1ccc2n(CC3=CN(C)C(=O)C(C)=C3)c(nc2c1)-c1cc(ccc1O)C(=O)N1CCCC1,0.3,CHEMBL2203999
1154,CC(C)n1nnc2c(nc(nc12)-c1ccc(NC(=O)Nc2ccc(cc2)C(N)=O)cc1)N1CCOCC1,0.1,CHEMBL591760
1171,COc1cccc(CNc2ccc(cc2)S(=O)(=O)Nc2nc3ccccc3s2)c1O,0.1,CHEMBL3113165
1192,CC(C)(C)c1ccc(cc1)C(=O)Nc1ccc(nc1)C#N,0.4,CHEMBL2386157
1298,CC(C(O)=O)c1cccc(c1)C(=N/O)\c1ccccc1,167.0,CHEMBL201607
1299,Cc1c2CCCN3CCCC[C@@H]3CNc3cc(ccc3C(N)=O)-n2c2CC(C)(C)CC(=O)c12,0.1,CHEMBL1779532
1304,COCCCOc1ccc(cn1)-c1nccc(n1)-c1cc2c([nH]1)C1(CCCNC1)CNC2=O,1.0,CHEMBL1779371
1324,COc1ccccc1S(=O)(=O)Nc1ccc2NC(=O)N(C)Cc2c1,2.0,CHEMBL2179387
1352,Cn1nnc2c(nc(nc12)-c1ccc(NC(=O)Nc2cccs2)cc1)N1CCOCC1,0.1,CHEMBL589600
1366,CC(C)NC(=O)c1cccc(c1)-c1cc([nH]n1)-c1ccc(cc1)N1CCN(C)CC1,0.1,CHEMBL1683313
1391,O=C(Nc1ccncc1)Nc1ccc(cc1)-c1nc(N2CCOCC2)c2nnn(C3CC3)c2n1,0.3,CHEMBL590325
1440,Cc1c2CCCN3CC[C@@H](C3)Nc3cc(ccc3C(N)=O)-n2c2CC(C)(C)CC(=O)c12,0.1,CHEMBL1779546
1446,CC(C)(C)C[C@@H]1N[C@H]([C@H](c2cccc(Cl)c2F)[C@]11C(=O)Nc2cc(Cl)ccc12)C(=O)N[C@H]1C[C@@H](C1)NS(C)(=O)=O,1.0,CHEMBL2398479
1456,NCc1c(ccc2ncn(Cc3ccccc3)c12)-c1ccccc1Cl,0.1,CHEMBL403156
1457,COc1nc(nc(n1)-c1ccc(NC(=O)Nc2ccc(cc2)C(=O)NCCN2CCCCC2)cc1)N1CCOCC1,0.5,CHEMBL1808978
1463,CCCN1[C@@H](Cc2cc(C[C@@H]3CS(=O)(=O)C[C@H](NCc4cccc(c4)C(C)C)[C@H]3O)ccc2O)COC1=O,0.1,CHEMBL1615184
1475,Cn1c(NCCCN2CCCCC2)ncc1C(=O)c1ccc(Cl)cc1,0.1,CHEMBL474430
1486,COc1ccccc1-c1ccc2cnc(Nc3cccc(c3)N3CCN(C[C@H](C)O)CC3)nn12,0.1,CHEMBL1923577
1491,COc1cc(N2CCN(CC2)C2CCN(CC2)c2ccc(F)c3c(C)cc(C)nc23)c2ncccc2c1,0.1,CHEMBL1097181
1494,CN1CCN(CC1)C(=O)c1ccc(NC(=O)Nc2ccc(cc2)-c2nc(O[C@H]3CCOC3)nc(n2)N2CCOCC2)cc1,0.3,CHEMBL1808991
1513,CN(C(C)=O)C1(CCN(CCC[C@@]2(CCCN(C2)C(=O)c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1)c1ccccc1,0.4,CHEMBL346178
1519,CCc1nc(N)nc(N)c1-c1ccc2OC(C)(C(=O)N(CCCOC)c2c1)c1cc(F)cc(F)c1,0.2,CHEMBL239496
1587,CC(C)n1nnc2c(nc(nc12)-c1ccc(NC(=O)Nc2cccnc2)cc1)N1CCOCC1,0.4,CHEMBL589345
1588,CCn1nnc2c(nc(nc12)-c1ccc(NC(=O)Nc2ccc(cc2)C(N)=O)cc1)N1CCOCC1,0.3,CHEMBL591759
1594,Cn1cnc2ccc(-c3ccccc3Cl)c(CN)c12,0.9,CHEMBL270365
1608,CO[C@]1(C[C@H](N(C1)C(=O)[C@@H](NC(=O)OC1CCCC1)C(C)(C)C)C(=O)N[C@@]1(C[C@H]1C=C)C(=O)NS(=O)(=O)C1CC1)c1ccc(nc1)-c1ccccc1,2.0,CHEMBL2403631
1630,OC(=O)CC1CCn2c1cc1cc(ccc21)-c1noc(n1)-c1cc(OC(F)(F)F)cc(c1)C#N,1.0,CHEMBL2048293
1633,CCn1nnc2c(nc(nc12)-c1ccc(NC(=O)Nc2ccnc(C)c2)cc1)N1CCOCC1,0.2,CHEMBL590577
1637,FC(F)(F)c1ccc(NC(=O)c2ccc(cc2)C2(CC2)C(F)(F)F)cn1,3.3,CHEMBL2386156
1649,COc1cc(N2CCN(CC2)C2CCN(CC2)c2ccc(F)c3cccnc23)c2ncccc2c1,0.0,CHEMBL1096476
1672,FC(F)(F)C1(CC1)c1ccc(cn1)-c1ccc(cn1)C#N,2.1,CHEMBL2386154
1702,CC(=O)N1CCN2CCCc3c(C)c4c(CC(C)(C)CC4=O)n3-c3ccc(C(N)=O)c(NC[C@H]2C1)c3,0.1,CHEMBL1779535
1761,Cc1cc(c(C)n1-c1cccc(c1)C(F)(F)F)-c1nnc2CCCCCn12,0.0,CHEMBL3102998
1779,FC(F)(F)C1(CC1)c1ccc(cc1)C(=O)Nc1ccc(cc1)C#N,0.8,CHEMBL2386160
1808,CCN1C(=O)C=C(N2CCC[C@@H](N)C2)N(Cc2ccccc2C#N)C1=O,0.5,CHEMBL1650437
1815,COc1cc(N2CCN(CC2)C2CCN(CC2)c2cccc3c(OC)cc(nc23)C(F)(F)F)c2ncccc2c1,0.1,CHEMBL1096156
1822,Cc1cc(\C=C\C#N)cc(C)c1Oc1cc(Nc2ccc(cc2)C#N)c(N)cc1[N+]([O-])=O,2.3,CHEMBL1632241
1823,CCOC(=O)NCCCC(C)Nc1cc(OC)cc2cccnc12,15.1,CHEMBL561991
1835,Nc1nccc2cc(O[C@H]3CCCNC3)ccc12,2.0,CHEMBL1643368
1837,O=C(NC1CCOCC1)C1CCN(CC1)C(=O)NCc1ccccc1,1.7,CHEMBL2069641
1875,O=C(NCCC(c1ccccc1)c1ccccc1)c1ccc(CCN2CCCC2)nc1,0.7,CHEMBL566038
1876,COc1ccc(C[C@H](N)C2=Nc3ccc(cc3C(=O)N2)-c2cn[nH]c2)cc1,0.3,CHEMBL2333909
1880,CCS(=O)(=O)c1cccc(c1)-c1cccc(c1)-c1c(C)cnc2c(cccc12)C(F)(F)F,0.5,CHEMBL1098832
1882,CC(C)(C)C[C@@H]1N[C@H]([C@H](c2cccc(Cl)c2F)[C@]11C(=O)Nc2cc(Cl)ccc12)C(=O)N[C@H]1C[C@](C)(O)C1,1.0,CHEMBL2398478
1896,CN1C(=O)C(F)=C(Nc2ccc(I)cc2F)C2=C1N=CN(C[C@H](O)CO)C2=O,1.5,CHEMBL1684070
